2
0
2
times,ISOP,NO
0.0,0.0,43617000000.0
1.0,0.0,42573000000.0
2.0,0.0,42535500000.0
3.0,0.0,44035500000.0
4.0,0.0,50293500000.0
5.0,0.0,67647000000.0
6.0,0.0,87966000000.0
7.0,1811975000000.0,90870000000.0
8.0,3262750000000.0,87888000000.0
9.0,4492500000000.0,90067500000.0
10.0,5793000000000.0,95181000000.0
11.0,6811000000000.0,98605500000.0
12.0,0.0,99103500000.0
13.0,0.0,101647500000.0
14.0,0.0,110194500000.0
15.0,0.0,110919000000.0
16.0,0.0,109825500000.0
17.0,0.0,94923000000.0
18.0,0.0,81358500000.0
19.0,0.0,81358500000.0
20.0,0.0,72688500000.0
21.0,0.0,64765500000.0
22.0,0.0,58600500000.0
23.0,0.0,52614000000.0
24.0,0.0,46152000000.0
